[00:03] 大家都知道图像是大自然创造的
[57:56] 比如四五千长度的这个数字序列
[57:58] 可能只有不超过十个
[58:01] 我们叫做关键的decision
[58:03] 它会影响最终的结果
[58:05] 它一旦进入到每个分支
[58:07] 你看起来那些token这么多
[58:09] 基本都是自动的
[58:10] 对那些就几乎确定
[58:12] 它有一个几乎确定的形式
[58:14] 把后面都全部输出去了
[58:16] 也就是说它那些token
[58:18] 其实根本不在search space里面
[58:20] 就RL要解决的search space里面
[58:23] RL实际要解决的
[58:25] 其实就是那些critical的分叉
[58:28] 就那些critical的token
[58:30] 它数量很少
[58:32] 也就是说看起来圆模型
[58:34] 我们解决一个困难问题的时候
[58:36] 它的决策序列是很长的
[58:38] 但是跟传统游戏相比
[58:40] 因为存在
[58:41] 就做游戏做控制相比
[58:43] 因为存在于训练
[58:45] 它实际的动作空间
[58:46] 实质上是非常小的
[58:48] 你只要想办法
[58:49] 把那几个关键token给搜对
[58:51] 就解决了
[58:52] 这样就可以解释
[58:53] 为什么我们今天做
[58:55] 就用Ubase RL
[58:59] 来训练一个圆模型
[59:01] 在刚开始训的时候
[59:02] 我都还没有训练
[59:03] 你会发现
[59:04] 即便对于一个很难的题目
[59:06] 我都有不低的概率
[59:08] 即便是随机揉
[59:10] 就可以把它揉对
[59:13] 我们做传统RL的很多setting
[59:16] 是不可想象的
[59:17] 你不可能在原地随便走走
[59:19] 我这个游戏突然通关了
[59:21] 我就可以找到
[59:23] 对对
[59:24] 我就找到
[59:25] 我就学习了
[59:26] 进一步学习
[59:27] 我原来这样走就可以通关
[59:29] 但是在于训语言模型这里面
[59:32] 你就会发现
[59:33] 如果你把把问题解对定位通关
[59:36] 那我这个通关率也太高了
[59:38] 几乎如果题目不太难
[59:40] 甚至有一半以上
[59:41] 你什么都没有做
[59:43] 你会发现在刚开始训练的时候
[59:45] 它都是做对的
[59:46] 就可能有一半题目都是做对的
[59:49] 就算题目很难
[59:50] 比如说我揉个100次
[59:52] 我可能也会有几次
[59:54] 那个时候完全揉对
[59:56] 在中间我没有做任何过程监督
[59:58] 我仅仅是就run的3
[60:00] 它就
[60:01] 这就使得
[60:02] 你会发现这个原模型上做RL
[60:05] 它跟我们传统在游戏上做RL
[60:07] 你遇到问题是完全不一样的
[60:10] 对
[60:11] 就是这里面
[60:12] 所以RL在这里面产生了一个
[60:15] 它起到的作用其实本质是什么呢
[60:18] 它其实就是要决定这些credit的token
[60:21] 要怎么做
[60:22] 对
[60:23] 因为我们发现
[60:25] 虽然这个模型
[60:26] 如果你多次揉
[60:28] 它经常能揉对
[60:29] 但它并不能稳定的对
[60:31] 可能这次是对的
[60:33] 那次是错的
[60:34] 所以在大家的想象中
[60:37] 我使用这个RL
[60:39] 我就是要想办法让这个模型
[60:41] focus在那些关键的token
[60:43] focus在那些关键的token
[60:45] 把它给做对
[60:46] 选择了正确的分支
[60:47] 你就做对了
[60:48] 你根本就不需要考虑那些
[60:50] 已经被预训员压缩掉的
[60:52] 但是问题又来了
[60:54] 对
[60:55] 这跟我刚说的pattern is all you need
[60:57] 有什么关系
[60:58] 如果就是这么简单
[60:59] 那么之前大家做Rubase
[61:01] 为什么不work
[61:02] 就是说我为什么做了半天RL
[61:05] 那些关键的token
[61:07] 它还是不能稳定做对
[61:09] 对
[61:10] 这是另一个问题
[61:12] 当这个模型走到从这某一步的时候
[61:15] 摆在它眼前呢
[61:16] 其实有两个分支
[61:17] 它到底是走左边还是右边
[61:19] 这件事可不可以通过一个token
[61:22] 整理解决
[61:23] 对
[61:24] 我认为对于很多问题
[61:25] 这是不可能的
[61:27] 举个最简单的例子
[61:28] 就是比如说我们做乘法
[61:30] 做乘法
[61:31] 乘法众所周知是
[61:32] 当你位数
[61:33] 很多人乘法
[61:34] 众所周知是
[61:35] 你让那个现在的语言模型
[61:37] 要用一口爆的方式
[61:40] 去做一个大数乘法
[61:41] 是几乎不可能得对的
[61:43] 这里面其实核心原因是复杂度
[61:46] 我们知道你要做一个大数的乘法
[61:49] 你至少是得是个n的平方的吧
[61:52] 对
[61:53] 要抬个杠的话是n log n log
[61:55] 对
[61:56] 反正是大于on
[61:57] 对
[61:58] 但是我们知道传送网一步
[61:59] 单次做那个点击的结果
[62:01] 就是单次做点击
[62:02] 它复杂度也是on
[62:04] 也就是说
[62:05] 如果你做一件事
[62:06] 它的复杂度超过on
[62:08] 那么它就大概率
[62:09] 不大可能通过在一个token里解决
[62:11] 现在的问题是
[62:13] 我现在的问题
[62:14] 返回到我刚刚说的那个问题
[62:16] 就是现在问题摆在那
[62:19] 我现在搜索空间已经非常小
[62:21] 我告诉你
[62:22] 可能只有10个criticaltoken
[62:24] 是你要搜索
[62:25] 你试试你rl算法
[62:27] 你要帮我决定
[62:29] 你到了某一个关键的token的地方
[62:32] 你要走左边这个分子
[62:33] 还是右边分子
[62:34] 还是中间这个分子
[62:35] 才能最大概率的通向正确答案
[62:38] 对
[62:39] 好
[62:40] 但是问题是
[62:42] 当这个问题足够复杂
[62:44] 尤其是什么数学问题
[62:46] 它是无法根据这个题目
[62:48] 以及前面一些浅显的推导
[62:51] 就立刻决定
[62:52] 我在中间某一步
[62:54] 我需要用一个怎么样的构造
[62:56] 或者怎么样的一个算法
[62:58] 对
[62:59] 也就是说
[63:00] 它的那个decision
[63:01] 这个complexity
[63:02] 已经远超了
[63:03] 就单个token
[63:05] 所能干的事情的上限
[63:07] 你想人类是怎么处理的
[63:08] 就很多数学问题
[63:10] 它其实都依赖一些巧妙的构造
[63:12] 比如说算到最后一步
[63:14] 刚好我设的某一个位置数消掉
[63:17] 这道题就可解
[63:19] 就可以用这种方法解
[63:20] 否则的话
[63:21] 我可能要用另一个方法解
[63:22] 又比如说
[63:23] 尤其在不能试问题
[63:25] 它非常依赖一些巧妙的构造
[63:28] 你想不到那个构造
[63:29] 它就解不出来
[63:30] 或者你构造错了
[63:31] 你也解不出来
[63:32] 但是在你做这种构造的那一刻
[63:35] 你只能凭感觉
[63:37] 是吧
[63:38] 你在算完之前
[63:39] 你根本不知道
[63:40] 这件事可不可以
[63:42] 对
[63:43] 所以那你指望
[63:44] 如果你人都不可以
[63:46] 原因是太过复杂
[63:47] 我要做前
[63:48] 就是做提前的判断过程复杂
[63:51] 对于
[63:52] Transformer这样一种计算量
[63:55] 单步计算量限定在on这样的
[63:57] 一个系统
[63:58] 它凭什么又可以
[64:00] 它当然不可以
[64:01] 所以我们就观察到
[64:02] 在o1这个范围出现
[64:04] 虽然我们也做ruby
[64:06] 虽然我也能观察到
[64:07] reward上涨
[64:08] 但你发现
[64:09] 它涨到一定程度
[64:10] 就涨不上去了
[64:11] 对
[64:12] 我的那些题目
[64:13] 永远就出现
[64:14] 你很生气
[64:15] 它明明
[64:16] 我做十遍
[64:17] 可能有六遍是对的
[64:18] 但就有四遍
[64:19] 永远是错的
[64:20] 那其实就是
[64:21] 这其实就是在它有些关键的
[64:24] 就我们叫做
[64:25] Critical Decision
[64:26] 那个地方
[64:27] 它其实没有充分的依据
[64:30] 能够在这么短的时间内
[64:32] 有一个头人之内
[64:33] 它选择正确的路径
[64:35] 比如说你很生气
[64:36] 比如说
[64:37] 我看着它这个题
[64:38] 都做到这一步了
[64:39] 前面都是对的
[64:40] 就做到这一步
[64:41] 它总是有60%的概率
[64:43] 走到了正确的分支
[64:46] 有40%的概率
[64:47] 走到了错误的分支
[64:49] 对
[64:50] 它为什么就不能学会
[64:51] 我就100%的概率
[64:53] 走到正确分支
[64:54] 那你可以这样想
[64:56] 也许你的数据集里
[64:57] 还有另一道题
[64:58] 跟它长得非常像
[65:00] 当走到这个点的时候
[65:01] 但那个题就有几个数字不一样
[65:03] 对于那个题来说
[65:04] 它就有百分之
[65:06] 就有百分之四十的概率
[65:09] 走的那个分支
[65:10] 它才是对的
[65:11] 那百分之六十是对的
[65:13] 因为有这两种数据同时存在
[65:16] 所以模型根本无法
[65:18] 就是它如果选择全走
[65:20] 百分之六十那个分支
[65:22] 那么剩下那一类题
[65:24] 它就做错了
[65:26] 就不利于它要最大化这个
[65:29] 就是最大化这个正确率的这个目标
[65:32] 所以它永远到不了百分之一百
[65:34] 对
[65:35] 其实想到这一步
[65:37] 解决方法也就是非常显而易见
[65:40] 如果我允许它按两条分支都走
[65:43] 那不就解决了
[65:45] 那所谓
[65:46] 那其实就是引入反思
[65:48] 这是引入反思的最大的一个动机
[65:52] 这也是欧系列最了不起的一点
[65:55] 就是说它真的把反思
[65:57] 补充到这个计算过程中
[66:00] 那这里就要插一句
[66:02] 那为什么RL自己没有
[66:04] 就不能自己产生
[66:06] 不激发这种反思
[66:07] 其实可以的
[66:09] 从实验上来看
[66:10] 你跑了足够久的话
[66:12] 你不人工注入反思
[66:14] 它自己也是会产生反思的
[66:15] 但是概率非常低
[66:17] 也特别耗时
[66:18] 并且效果也不能很好
[66:20] 为什么会产生这样
[66:21] 那就其实也是因为预训练
[66:24] 对
[66:25] 我们知道前面预训练
[66:26] 对于这个OE这套范式
[66:28] 对于这个RL这套范式
[66:30] 前面说了非常关键
[66:31] 因为它起到了动作空间
[66:33] 就大幅压缩了这个动作空间
[66:37] 但是呢
[66:38] 就怎么说呢
[66:39] 这个动作空间在反思这件事
[66:41] 它其实是过度压缩了
[66:43] 因为我们人类的语料中
[66:45] 反思类数据非常少
[66:47] 因为人类基本上
[66:48] 只会给出正确的
[66:50] 就比如对解题来说
[66:51] 人类只会给出正确的解决过程
[66:53] 它并没有
[66:54] 在绝大多数的时候
[66:55] 它是没有写下来
[66:57] 那些错误的
[66:58] 或者它走过的那些弯路的过程
[67:01] 你看到的永远都是一团糊糊
[67:03] 一条路走到底
[67:04] 所以在模型充分压缩之后
[67:07] 它认为所有的题目
[67:10] 模型认为所有的题目
[67:11] 都应该非常顺畅的
[67:12] 从第一步直接CFT到底
[67:16] CFT到底
[67:17] 它是没有这个所谓的这个反思
[67:19] 这样的过程了
[67:21] 你动作空间
[67:22] 虽然我有反思那样的一个token
[67:24] 但是它的概率非常低
[67:26] 因为我经过预训练把它压缩掉
[67:28] 或者叫过度压缩掉
[67:30] 所以我们用RL过程
[67:31] 是不容易把这些反思记法的
[67:33] 这也就可以解释为什么
[67:35] 之前那些Rubes的效果
[67:36] 其实没有那么好
[67:37] 而O这个方式呢
[67:39] 我可以利用其他的一些方式
[67:41] 比如说就是能启动
[67:43] 这些Titan注入的方式
[67:45] 把这些反思Titan给它重新注入
[67:49] 可以相当于我扩展了这个动作空间
[67:51] 我在这个扩展的动作空间搜索
[67:54] 刚好就可以解决了刚刚说的那个问题
[67:57] 你不是有一个credit token
[67:59] 你不知道从左走还是从右走
[68:01] 没关系
[68:02] 你自己随便选
[68:03] 选到底
[68:04] 你意识到不对
[68:06] 你可以返回
[68:08] 我有一条反向边
[68:09] 你可以连回
[68:10] 我可以从再接着
[68:12] 那个就是之前的再进步
[68:15] OK
[68:18] 所以其实我有点
[68:20] 我觉得怎么说呢
[68:22] ofan是somehow
[68:23] 你可以认为叫做
[68:24] 它其实是一种meta
[68:26] 对
[68:27] 我们知道原模型
[68:30] 在原模型那个
[68:32] 最早的时候大家的用法
[68:33] 其实跟我们早期大家对AIC系统用法是一样的
[68:38] 就是希望我输入一个问题
[68:40] 然后直接是复杂
[68:41] 但COT发现以后
[68:42] 大家突然发现它对于一类复杂的问题
[68:45] 它可以大幅提升正确率
[68:48] 其中它背后的主要依据
[68:50] 其实就是很多问题的复杂度
[68:52] 其实超过了你这个模型单步推理的最大复杂度
[68:57] 所以我要把步骤拆开一步一步的
[68:59] 才更好的
[69:01] 把这个问题给回答正确
[69:04] 保证我拆开的每一个单步
[69:06] 都不超过这个模型复杂度的上限
[69:08] 但是紧接着我们又遇到了
[69:10] 你为什么用这种COT
[69:12] 而不是用那种COT
[69:14] 这就涉及到一个叫COT选择的问题
[69:17] 对于更复杂的问题
[69:19] 因为你根本无法一眼看出来
[69:21] 接下来我这个COT的路径要怎么走
[69:24] 对
[69:25] 所以OE这种通过引入这种反思pattern
[69:29] 这样的一种方式
[69:30] 我们可以认为它是
[69:32] 其实本质是用meta的
[69:34] 叫COT的
[69:35] 也就是说它是用COT的COT
[69:37] 它就使得
[69:39] 它就使得这个模型
[69:41] 可以在多种COTpattern
[69:43] 之间自由的切换
[69:45] 进行排列组合
[69:47] 把更复杂的这种网状的问题
[69:50] 能够解决
[69:52] 这是我理解的OE这个方式
[69:55] 为什么成功的这个因素
[69:58] OK
[69:59] 把所有这些
[70:00] 把OE复现这个过程
[70:02] 全部想明白以后
[70:05] 把这些全部做完一遍以后
[70:07] 再回到最初的视觉
[70:10] 这个深层理解一体化
[70:13] 这种情况
[70:14] 我觉得为什么我们的深层可控性这么差
[70:17] 其实问题就有了一个眉目了
[70:20] 对
[70:21] 其实根本的原因就是
[70:23] 还是一个所谓的复杂度问题
[70:25] 因为深层要考虑的因素太多了
[70:27] 对
[70:28] 不管你用OE
[70:30] OE是最显然的
[70:32] OE有最大特点
[70:33] 就是落子无悔
[70:34] 就一旦你把那个区域画上了
[70:36] 你就不能再改变它了
[70:38] 对
[70:39] 也就是说
[70:40] 曾经往来需要在单步推理的过程中
[70:43] 就要把那一块怎么画
[70:46] 就这件事给做出来
[70:48] 那么这件事的复杂度有多高呢
[70:51] 有没有超过
[70:52] 这个Transformer的单步复杂度上限
[70:55] 这个是不清楚的
[70:56] 但是我可以做一些
[70:58] 思想实验
[70:59] 让它绝对是超过的
[71:02] 比如说我让它在黑板上画一个黑板
[71:06] 在黑板上写一个基础通路问题的完整纠结和解答
[71:10] 它看起来是个话题
[71:11] 但它背后隐藏的其实是一个数学题
[71:14] 这个数学题包含了很多步骤
[71:17] 对
[71:18] 它的很多步骤明显超过了Transformer的单步推理
[71:22] 当你要求它做这件事的时候
[71:25] 那显然
[71:26] 我现在都不管
[71:27] 我现在都不管你画图画的怎么样
[71:30] 你就光是把这个问题解对
[71:36] 就不是你现在这些token
[71:38] 或者叫一口爆可以爆出来
[71:41] Diffusion可能好一些
[71:43] 因为它是一个多步的过程
[71:45] 它是一个SD
[71:47] 如果你用Float Matching的话
[71:50] 它就是一个ODE
[71:51] 所以它其实是一个多步过程
[71:54] 但这个多步过程
[71:55] 你要说它隐含了什么推理
[71:58] 那我肯定是不信的
[71:59] 对
[72:00] 尤其是那些降噪的过程
[72:01] 那些降噪的过程
[72:02] 它其实是在构造一个数学过程
[72:05] 就更方便
[72:06] 让这个系统更方便的去拟合一个
[72:10] 用一个已知的分布来拟合一个未知的分布
[72:13] 但是降噪这个过程很明显跟人类生成图像的过程明显不一样
[72:19] 人类生成图像
[72:20] 比如画家
[72:21] 他往往是要先打草稿
[72:23] 然后再描绘轮廓
[72:25] 然后再描绘里面的关键元素
[72:27] 再上色
[72:28] 最后再渲染
[72:29] 这样的一个过程
[72:30] 它不是用橡皮
[72:32] 一点点把噪声给擦掉
[72:34] 这样一点点把这个每一个局部给还原出来
[72:37] 这样的过程
[72:38] 我们对比这两个过程
[72:39] 你会发现
[72:40] 人类画时代画的时候
[72:42] 它是严格遵守人类对这个场景的语义理解
[72:46] 它是强语义的
[72:47] 比如说它会从一个object到另一个object
[72:51] 从轮廓再到它的细节
[72:54] 按照这样的一个过程
[72:55] 不像降噪这个过程
[72:58] 你很难说哪一步是它在做语义
[73:01] 哪一步是在做物体
[73:03] 在它看来都是一堆噪声生成
[73:07] 所以它跟auto-reversal
[73:10] 我认为就是差别不大
[73:12] 基本上你可以把整个diffusion
[73:14] 这个过程看成一个整体
[73:16] 它其实就是一步生成
[73:18] 语义可能在它diffusion的某一步
[73:20] 就已经完全确定了
[73:22] 完全确定了
[73:23] 剩下的都是在补细节而已
[73:24] 对
[73:25] 也就是说
[73:26] 不管是你用auto-reversal
[73:27] 还是diffusion
[73:28] 在我看来
[73:29] 你都还处于语言模型的最原始的形态
[73:32] 就是一口爆的时代
[73:34] 就是说我给定了一个问题
[73:36] 我要求你在一步之内
[73:39] 直接把这个图像生成出来
[73:41] 当然你生成的结果是非常差的
[73:45] 因为你的复杂度根本完成不了
[73:50] 根本达不到完成这个任务所需要的
[73:54] 要求
[73:56] 也就是说生成这边
[73:58] 其实我认为
[74:00] 生成这边
[74:01] 其实我认为
[74:02] 它最大的问题还是在于它缺少cot
[74:05] 类似语言模型的cot
[74:07] 甚至于它被语言模型
[74:09] 现在已经甩了两代了
[74:11] 它不只是没有cot
[74:13] 它不只是没有我刚说的所谓的meta-cot
[74:16] 它连cot都没有
[74:18] 它还是在之前一口爆
[74:21] 那样的一个时代
[74:23] 所以我想到这一点的时候
[74:25] 其实在去年年中的时候
[74:27] 我就认为就是简单的
[74:29] 你要把这个
[74:31] 就是这个
[74:33] 就怎么生成和理解
[74:34] 就简单的要把它做到一起
[74:36] 看起来难度非常大
[74:38] 这中间我缺失了非常大的一环
[74:41] 这个环其实就是cot
[74:44] cot这件事
[74:46] 直接在生成上做cot还是比较困难
[74:50] 借鉴语言模型
[74:51] 我更多的还是在理解
[74:53] 上先做cot
[74:55] 先把这条
[74:56] 先把理解上的cot烫通
[74:59] 我们可能就能把这个方法稍加扩展
[75:02] 可能就可以做到
[75:03] 做到那个生成上
[75:05] 所以在去年年中的时候
[75:07] 我开启了另一个课件
[75:09] 就是说我要做视觉理解
[75:11] 我说的是视觉理解
[75:13] 更多的要叫做
[75:15] 它的核心是叫做
[75:17] 真正在视觉空间上做的cot
[75:20] 因为我们知道
[75:21] 其实现在的这些欧的这些方式
[75:23] 它的那个思维链基本上都是文本
[75:26] 是吧
[75:27] 都是文本
[75:28] 即便是你可以把input
[75:30] 就是你的primer里加入图像
[75:32] 对但是我可以用跟文本模型
[75:34] 完全相同的方法
[75:36] 我也可以把这个oe-like的
[75:38] 这个launch ot给激发出来
[75:40] 但是所有这些推理
[75:42] 其实都还是在文本
[75:44] 那么对于很多
[75:46] 你必须要在图像空间上做的问题
[75:48] 最典型的就是数数
[75:50] 比如说像走迷宫
[75:52] 比如说像连线
[75:54] 像这些还有像识别图表
[75:57] 阅读图表
[75:58] 这些东西其实对于人类来说是非常简单的
[76:01] 因为人类可以在图像做各种的圈点批注
[76:05] 就算人不做圈点批注
[76:07] 就仅通过这种视线和注意力的转移
[76:10] 比如我先数左边再数上面再数右边
[76:13] 我也可以把这个counting
[76:15] 或者是定位
[76:17] 比如说我问
[76:18] 我给你个表格
[76:19] 我问某一个字母在第几行第几位
[76:22] 还有桌标图
[76:24] 还有读钟表
[76:26] 这些事情其实人类都非常简单
[76:29] 其实最主要的原因还是人
[76:31] 首先这个问题虽然简单
[76:33] 但它也没有简单到可以
[76:35] 一口就直接说出答案的地步
[76:38] 你还是需要做推理
[76:39] 而且这个推理它并不是在语言空间
[76:42] 你必须在视觉空间上做一些东西
[76:45] 所以在去年年中
[76:47] 我setup这个项目其实就是想
[76:49] 研究一下在视觉空间
[76:52] 这个慢思考
[76:53] 或者说在视觉空间上的long-suit
[76:56] 我要怎么做
[76:57] 这样的东西
[76:59] 其实也是受语言模型启发
[77:01] 语言模型不是说
[77:02] 我缺失了一些动作空间嘛
[77:05] 比如说反思这样的东西
[77:06] 我要补回来就好
[77:08] 对
[77:09] 因为视觉我可以做同样的处理
[77:11] 现在是在视觉上不是数数不好数嘛
[77:14] 你回想一下人类要怎么数数
[77:16] 我可以在那个图上圈点
[77:19] 你数一个我就给你打个脸
[77:21] 再数一个我再给你打个脸
[77:23] 这就解释了
[77:24] 人类怎么做迷宫呢
[77:25] 连线呀
[77:26] 从入口开始连
[77:28] 连到死胡同再回来
[77:29] 把那些线插掉
[77:31] 再回到另一个点
[77:33] 再看
[77:34] 这样动作空间就有了
[77:36] 有了动作空间
[77:38] 我把通过一些训练
[77:39] 我把它放到我的模型里面去
[77:42] 对
[77:43] 我再
[77:44] 对
[77:45] 我再用RL的想法
[77:46] 这个RL也可以做的非常简单
[77:47] 也是个rubase
[77:49] rubase
[77:50] 就是鼓励那些能够通向正确答案的
[77:53] 抑制那些大不了正确答案的
[77:56] 对
[77:57] 我甚至里我还允许反悔
[77:59] 你做过的标记
[78:00] 我都可以把它cancel掉
[78:02] 给它擦掉
[78:04] 这样不又有那个反思了
[78:06] 对
[78:07] 然后这样就想得很美
[78:09] 就这样就
[78:10] 我们又可以做
[78:11] 叫真视觉空间上推理
[78:12] 就不利爱文本
[78:13] 我还可以在图上做圈点皮图
[78:15] 这样的东西
[78:16] 结果呢
[78:17] 就做了半年
[78:18] 实际出来效果
[78:19] 跟大家说
[78:21] 透露一下
[78:22] 就首先不是说完全没有效果
[78:24] 我这样训练
[78:25] 确实可以把这类问题给解掉
[78:28] 问题是我造什么样的数据
[78:30] 他就只能解这一类数据
[78:32] 他完全没有在语言模型上
[78:35] 我们看到的这么强大的
[78:37] 这样的一个方法
[78:38] 对
[78:40] 这件事就说起来就比较复杂
[78:42] 就涉及到对欧
[78:43] 我觉得这是涉及对欧的另一个理解
[78:46] 就是说欧这个方式
[78:48] 它对于跟刚刚就是怎么说呢
[78:52] 就比它解数学题解代码题相比
[78:55] 就是它更吸引了一点
[78:56] 就是欧这个方式
[78:57] 有无与伦比的这个推广性
[78:59] 推广性
[79:00] 就比如说我做过实验
[79:02] 我故意只在纯数学模型上
[79:05] 训了一个欧like的这样一个模型
[79:08] 对
[79:09] 然后呢
[79:10] 我把它在那个诗词
[79:12] 尤其那些古诗词
[79:14] 因为它要严格满足它的格率和押韵
[79:18] 这些要求
[79:20] 这样的一个问题
[79:21] 事实上我的数据
[79:22] 里面是完全没有这一类
[79:24] 诗词要怎么做
[79:26] 对
[79:27] 结果它激发出了跟解数学题
[79:30] 非常类似的那种思考pattern
[79:32] 对
[79:33] 因为发现它会先给一个draft
[79:35] 足以检查哪些不满足要求
[79:38] 再一个一个替换
[79:39] 替换完之后
[79:40] 可能这个句子就不成句了
[79:42] 它又说看起来这个完全不行
[79:44] 它就把前面两句全部推翻
[79:47] 重新试了一种
[79:48] 还不行
[79:49] 它把整个诗又全部推翻
[79:51] 从又来了一种
[79:52] 而且呢
[79:53] 它在过程中它会反复检查它的字数
[79:56] 还有以及是否满足这个提议的这个要求
[79:59] 对
[80:00] 跟那个它做数学
[80:01] 几乎是一模一样
[80:02] 它在数学的时候也是
[80:04] 也是会有这样的一个pattern
[80:06] 我刚刚说的反思
[80:07] 只是众多它激发出来的pattern中的一种
[80:10] 反思可能最重要了
[80:11] 对
[80:12] 当然pattern也会有一些
[80:14] 其他的pattern
[80:15] 比如说那个
[80:16] 就换一种方法验算
[80:18] 还有叫verify
[80:19] 就是用不同的方法验算
[80:21] 还有叫大循环
[80:23] 大循环的意思
[80:24] 就推翻前面做的所有东西
[80:26] 再从头再开始再开始做一遍
[80:28] 还有一个叫审题
[80:30] 就多次比对题目
[80:31] 还有是否符合题目要求
[80:33] 你会发现同样的过程
[80:35] 它可以非常完美的transfer到这个
[80:38] 像文学类这样的一个场景
[80:40] 虽然我完全没有做过
[80:42] 没有做过这类的书
[80:44] 这是一个非常好的例子
[80:45] 就是它泛化的是整个它的pattern
[80:48] 就是怎么做事的方式
[80:50] 完全正确
[80:51] 这个欧这个泛化
[80:53] 它非常厉害的点
[80:54] 它似乎不仅是按照domain泛化
[80:57] 也就是说从一些数学系泛化到另一些数学系
[81:00] 这个是有的
[81:01] 但是不是它最吸引人的点
[81:03] 它更多吸引人的点是pattern的
[81:05] 一种思考模式
[81:06] 比如说验算
[81:07] 比如说那个
[81:09] 就是回退到上一步
[81:11] 这样的pattern
[81:12] 它会在另外一些问题中
[81:15] 可能我训练中完全没有出现问题
[81:18] 但是也适合于这种pattern解决问题上
[81:21] 它会有所体现
[81:22] 这就是它非常强大泛化力的这个来源
[81:27] 并且我也找到了数学模式
[81:30] 纯数学数据它无法泛化的一个领域
[81:34] 看起来就是博弈
[81:36] 比如说我在一个纯数学训练的一个模型上
[81:40] 所以我故意问他这样的一个问题
[81:44] 比如说我给他一个斗地主的一个残取
[81:46] 双方明牌
[81:47] 其中一方可能两个a两个go
[81:50] 另一方是另一手牌
[81:52] 我问第二
[81:53] 如果是第二家出牌
[81:55] 他要怎么出才能赢
[81:57] 对我发现这个范式
[81:58] 他是完全掌握不到的要理
[82:01] 对他做了很多无效思考
[82:03] 而且还有很多低级错误
[82:05] 比如说把扑克牌
[82:07] 把扑克牌的那个张数都能数错
[82:10] 以及就其中一方都出完了
[82:13] 还是说因为他两张a已经下去了
[82:17] 所以他无法再抵挡我后面的这个后续的这个出牌
[82:22] 但其实对方都出完了
[82:23] 他会出很多这种低级的错误
[82:25] 思考也完全不得要领
[82:27] 其实我们分析
[82:28] 就因为这种博弈类的问题
[82:30] 他的思考范式跟大部分数学题都不同
[82:34] 他其实是一个min max的这个思路
[82:37] 也就是说他要从对手的最优解里面
[82:40] 要尽可能的降低
[82:43] 对手最优解的这样的一个收益
[82:46] 所以它是一个最大最小的问题
[82:48] 这一类思维排挥他是没有掌握的
[82:51] 当然我们也发现
[82:52] 如果你合成了很多这样的数据
[82:55] 就是这样的题目
[82:56] 你让他去学习这个东西
[82:58] 这一类思维他也是很容易激发的
[83:01] 所以真不是他不会
[83:03] 还是你在训练的时候
[83:07] 你需要有这样的一类的问题
[83:09] 来激发出他这种思考的范式
[83:11] 所以换句话说就是他的推广
[83:13] 他推广性是非常非常厉害的
[83:15] 他一下能推广到一大块
[83:17] 但是再回过来再想
[83:19] 那我在图上做圈点批注
[83:23] 这样的一个问题
[83:25] 看起来也是非常多的视觉推理问题都可以用的
[83:30] 那为什么我合成了这些数据
[83:34] 他就没有
[83:35] 或者说我做的这一系列方法
[83:37] 他就没有这么强的推广性
[83:39] 对再回到语言
[83:41] 再回到语言
[83:42] 其实这时候
[83:43] 因为我们这边的研究基本上
[83:45] 因为我们的团队基本上每个人都是
[83:47] 同时通晓语言视觉和语音
[83:51] 对
[83:52] 所以大家这也是我们团队的一大优势
[83:54] 大家可以比较能够利用这个跨模态的思维
[83:58] 来诊断问题
[84:01] 后来就发现了
[84:02] 其实OE激发出来这些反思的pattern
[84:05] 就很多经验证比较恶的这些pattern
[84:09] 典型的这个代表就是他有很多像wait
[84:12] 像alternatively
[84:13] 这样的一些口水词
[84:15] 以及他的一些上下
[84:17] 像recheck
[84:18] 还有vindication
[84:19] 这样的一种反思pattern
[84:22] 他不是我们
[84:23] 虽然说我们在那个co-start里会人工合成这些数据
[84:27] 但是其实这也是
[84:29] 怎么说呢
[84:30] 就somehow也是在操控
[84:32] 因为他告诉我们可以这样搞
[84:34] 但是为什么可以这样搞
[84:36] 后来我们发现
[84:38] 是因为这些pattern在那个预训的语料中其实都有
[84:41] 虽然说他非常的少
[84:43] 比较典型的
[84:45] 就是像master overflow这样的论坛上
[84:48] 有一些比较高占的那种答案
[84:50] 对
[84:51] 他经常会用
[84:52] 就类似的那种思考过程
[84:54] 来一步一步把这个问题给答出来
[84:57] 对
[84:58] 就我会发现
[84:59] 国内和国外的论坛还是有很大不同的
[85:02] 国内论坛特别喜欢用注意到这种
[85:05] 把那些脚手架全部拆掉
[85:07] 就显得他自己很牛
[85:09] 就是一个很随意的
[85:11] 神奇的构造
[85:12] 把这个问题解了
[85:13] 至少这种语料
[85:15] 如果模型砍多了
[85:17] 这是灾难
[85:18] 对
[85:19] 因为那些
[85:20] 他等于是他把自己的思考
[85:22] 真实的思考过程给隐藏起来
[85:24] 把思维变得特别跳跃
[85:25] 特别跳跃
[85:26] 这种其实是非常不利于模型学习
[85:28] 对
[85:29] 但是像master overflow上的有一些高占大主
[85:32] 你会发现他上来拿到一个模型
[85:34] 他会尝试求解
[85:35] 但是他解着解着他就会发现不对劲
[85:38] 然后他就会在上面写就等等
[85:40] 我发现这个东西
[85:42] 我是少考虑了一个因素
[85:44] 对
[85:45] 然后他把这个因素加进去
[85:46] 我发现他之前想的方法完全不恶
