[00:03] 人就是一个标准的通用的VOA模型大佬
[53:21] 他们就是收集了很多的机器人的数据
[53:26] 当时一共130K
[53:29] 的episode
[53:30] 然后700个task
[53:31] 一共13台机器人
[53:33] 搞数据搞了17个月
[53:36] 对大概是这样一项就是这个Google和DeepMind他们一块来
[53:41] 做的
[53:42] 最终的话这个
[53:43] 问一个很基础的问题
[53:45] 就是这个机器人的Transformer和我们理解大语言模型的Transformer它的主要区别是什么呀
[53:50] 底层架构差不多
[53:51] 底层架都是attention的架构
[53:54] 底层都没有没有太多的这个创新
[53:57] 都是
[53:57] 底层都是attention
[53:59] 对吧然后只不过这里面的话机器人
[54:02] 像这个模型我们会考虑这
[54:04] 他比如在前面就这个Transformer基本就跟我们这个语言模型里面Transformer是一样的
[54:09] 但前面呢你会已经比如说对
[54:12] 这个视觉图像做一些处理有个CNN等等有个处理
[54:17] 然后我的输出的话也需要转换到Action上面
[54:20] 就是
[54:21] 因为我们这一类刚才提到的我现在这一个Branch的工作就是讲的基于Transformer的
[54:26] 所以这个Transformer就跟语言Transformer是区别不大的
[54:29] 他只是把Transformer用在Robotics这个行业
[54:33] 对但是你的架构还是要改就你整个网络架构比如说你前后的
[54:37] 输出都要改
[54:38] Transformer也有很多种
[54:40] 类嘛虽然底层都是attention
[54:42] 这里面的话也有一些不同
[54:45] 对但是核心的底层的机制都会是attention
[54:48] 这是最内核的这样一个这个是
[54:51] 这个没有太多新的东西
[54:53] 这个也是大家共识共认的
[54:56] 虚拟AI模型因为巨圣模型也是一种AI模型
[54:59] 那么其实它底层的
[55:01] 架构的话也都是通用的
[55:05] 通用的跟很好的处理数据的这样一种方式
[55:07] 但是说你在网络上你会发现会有你需要加很多新的东西
[55:12] 然后并且融入进来
[55:13] 所以说基本上你可以看到把这个框内的话其实你可以当的就是一个端到端的模型
[55:18] 有一本Transformer还有一本CNN做Encoder等等
[55:21] 但整个是端到端去
[55:23] 训练端到端去Inference的
[55:25] 然后整个是看到这个就是
[55:27] 就是一个VLA的
[55:28] 这样一个模型
[55:29] 对吧
[55:30] 有这个
[55:31] 对吧有这个Vision
[55:33] Language
[55:34] Action输出
[55:36] 是一个算是一个标准的VLA模型
[55:38] 这是VLA的第一篇论文
[55:41] 我觉得可以
[55:43] Gato其实也算
[55:44] Gato也算它也有Vision Language
[55:47] 如果说你的定义就是有Vision Language Action Model
[55:49] 然后又是一个端到端的
[55:50] 去训练
[55:51] 对吧
[55:52] Gato其实就算了
[55:53] 然后这篇呢但是
[55:56] 对对他们都是基本他们团队很多都服用的
[55:59] 可以认为都差不多是那帮人
[56:03] 对对对对但是就是说Gato他就在机器人上面其实比较弱嘛
[56:08] 对这块就是专门针对机器人收集很多数据针对机器人做了很多改进训练
[56:12] 然后
[56:13] 在这块的话性能也还是不错的当时
[56:17] 就是说在比如说他见过的这些任务里面
[56:20] 基本上是能达到接近百分之百的performance
[56:25] 就直接overfit到见过的这个任务上面
[56:27] 当然就是说
[56:29] 其实
[56:30] 在这个RT1里面任务也不是很难
[56:32] 基本上主要还是偏抓取为主
[56:34] 但是说他确实能达到各种各样的多任务下面
[56:38] 能达到
[56:39] 非常高的一个成功率
[56:40] 会比
[56:41] 当时看到比如Gato或者其他的都会高很多
[56:44] 同时的话也具备
[56:45] 还不错的比如说Generation的能力就比如说对于没见过的
[56:49] 他也基本达到75%的成功率
[56:50] 对
[56:53] 这里面大家因为这是基本上是第一篇OK
[56:57] 通过相对大规模的极限数据局去训练的
[57:00] 所以说
[57:01] 他也给了一些insight
[57:02] 对于数据上面比如说一个比较重要的就是说
[57:06] 对我还想说diversity
[57:09] 就是说对数据来说他的diversity
[57:12] 会比数据的size要重要很多
[57:15] 这个横轴的话就是说你用的数据的量相当于
[57:19] 纵轴就是你的这个Success
[57:20] Rate相当于你的性能指标
[57:22] 然后看到这条线主要就展示OK我只是单纯的增加量
[57:27] 反正他是一个比较平滑的方式去增加他的Success Rate
[57:29] 但是呢
[57:30] 你看这条线就是说你把diversity去掉了
[57:33] 会发现他的这个
[57:35] Performance会下降的很厉害
[57:38] 对就是更diverse的
[57:40] 这个数据
[57:41] 会帮助更多
[57:42] 怎么理解diversity
[57:43] 怎么理解多样性
[57:45] 就比如说
[57:46] 尽量做不同的任务
[57:48] 对吧然后同一个任务下
[57:50] 你尽量能展现出各种
[57:51] 不同的物体
[57:53] 对吧但不是说同一个任务同一个物体
[57:56] 甚至同样的这个摆放的这个
[57:59] 空间位置然后你重复很多遍那这个其实很多工作是无用的
[58:03] 对所以这里面这个问题也会困扰自动驾驶
[58:07] 因为比如说自动驾驶里面的话经常expert driver
[58:12] 你的这个人类这个
[58:14] 司机
[58:15] 基本上
[58:16] 开的都是比较好的
[58:18] 都在道路中间
[58:19] 开的比较好
[58:20] 对吧那么在于
[58:21] 那么所以你会发现大量的数据
[58:24] 你如果没有对数据经过很好的一个这个执行和处理的话你会发现大量的
[58:28] 这个数据都是趋同的
[58:30] 然后
[58:31] 但是呢你比如说到一些危急情况或一些corner case的情况
[58:35] 因为这部分数据非常少
[58:37] 你看这些数据diversity如果不够的话
[58:39] 你就很难去这个generalize
[58:41] 这是generalize非常容易碰到的一个问题
[58:43] 所以在数据收集方面
[58:45] 其实数据
[58:46] 模型刚才说模型当然是决定你的这个底座你这个最重达多少
[58:50] 然后其实pratically讲的话
[58:52] 数据的影响是非常非常大的
[58:54] 对
[58:55] 数据收集好坏它的量是怎么样
[58:57] 会很大程度影响你的performance
[58:59] 对
[59:01] OK
[59:02] 然后接下来想讲的一个工作叫Arcto
[59:06] 这个也是跟Google里面然后包括这个Burkin那边
[59:09] 包括这个Sergei Levin就包括刚才的RT系列工作的话
[59:13] 像Sergei Chesif
[59:14] 这些都参与的比较多然后他们其实后面如果了解也知道他们后来创立了派
[59:20] 对
[59:21] 总之这一套都是他们这一帮人Google
[59:24] Burkin和派
[59:26] 等等这一帮人
[59:27] 当然也包括Stanford几个
[59:28] 然后乃至Chelsea其实也是Sergei的一个学生
[59:32] 对之前的博士生
[59:33] 派是那个创业公司是吧
[59:35] 对对对
[59:36] 就现在美国那边最有名的一个巨神智能公司吧
[59:40] 但他不做本体
[59:41] 他专门做巨神智能大佬
[59:42] 所以他们都是就是发这篇论文的researcher
[59:45] 一系列论文他们做很早包括我们最开始讲的SECAN
[59:50] 然后再到刚才
[59:52] Agato RT1后面一系列就是他们是
[59:55] 他们这一帮人是
[59:57] 做VIA在这个领域
[59:59] 应该是做得最早的
[60:00] 然后积累最深厚的
[60:02] 做出的输出最多的
[60:04] 派应该是美国人才密度最高的机器人公司
[60:07] 对我认为是的
[60:10] 估值现在多少
[60:11] 多少来着
[60:12] 也是几十亿美金了吧
[60:14] 后面讲的figure更夸张
[60:16] 但是AI如果是AI巨神模型的这个人才密度
[60:20] 我觉得还是Pi那边
[60:22] 包括Google那边
[60:23] 就他们整个这个大团队
[60:25] 就是涉及到
[60:26] Berkley Stanford Google
[60:28] Pi DeepMind
[60:30] OK然后回到这篇
[60:32] 这边他是一个
[60:33] 叫Open Source Generalist
[60:35] Robot Policy你可以认为他是某种程度就是
[60:37] 开源版的RT1
[60:40] 对但他在RT1上面也不是完全相同
[60:44] 就是但基本上是
[60:46] 一个开源版RT1就是他本质的核心
[60:49] 你看到他的这个架构
[60:51] 然后也是Transformer的
[60:53] 也是Transformer架构
[60:54] 前面的话
[60:55] 转语言
[60:56] 和这个图像
[60:59] 然后也会分别通过语言的Encoder和图像的Encoder
[61:02] 然后来去输入进来
[61:04] 然后呢他和RT1的一个不同是说他允许我在下游Funtuning的时候
[61:10] 去加一些新的Action Space
[61:13] Action Space是什么就比如说你可能要控制不同的
[61:16] 机器人
[61:17] 然后你可能有不同的
[61:19] 控制方法
[61:20] 这个在机器人Robotics控制里面有两种
[61:22] 比如说对于机械臂的话有两种
[61:24] 典型的不同的控制方法
[61:26] 一个是说
[61:27] 直接的
[61:28] OK我输出我的这个ND Factor
[61:31] 就是我的夹爪该在哪
[61:33] 该走到哪
[61:34] 然后我有一个
[61:35] 在底层的控制器去控制它
[61:37] 还有一个就更直接一点就我网络直接输出
[61:40] 我的每个关节
[61:42] 的角度比如说
[61:43] 直接控制这个关节
[61:45] 这都是都是两种
[61:46] 两种不同的这个选择
[61:48] 所以你可能还有别的一些定义的方式
[61:51] 所以说他考虑了这种可能性
[61:54] 那比如说你在Pretrain的时候呢
[61:55] 你可能是
[61:56] 只是其中的某一个模态
[61:58] 来去做的然后
[62:00] 他可能考虑那我在我可能要把它Transfer到另一种新的Action Space
[62:05] 上面
[62:06] 所以说我考虑在Funtuning的时候他允许我加上这个
[62:10] 换成这样一个新的
[62:12] Action Space
[62:13] 转换一下
[62:14] 这样控制一个模态
[62:15] 对所以
[62:16] 这个是他跟RT1的核心的不同
[62:19] 然后呢他把这个开源了
[62:20] 然后还有一篇他们的续作
[62:23] 价格非常类似
[62:24] 叫做Crossformer
[62:26] 这篇他们叫scanning crossing body的
[62:29] learning
[62:30] 就是他是想
[62:32] 用同一个模型来去
[62:34] Crossing body就是跨本体形态
[62:38] 他希望同一个模型他能
[62:40] 用到各种各样不同的机器人形态上面
[62:43] 就比如说你可能有机械臂的你可能有
[62:46] 四足的然后你的任务可能是有抓取的
[62:49] 可能有这个
[62:50] 这个这个这个
[62:52] 行走的
[62:54] 甚至是这个
[62:55] 飞行器的navigation
[62:57] 等等所以说
[62:59] 他是我们可能有这样一个需求我们是希望能够通用的附用到
[63:04] 各种不同形态上
[63:05] 对然后那这个Crossformer它的一个架构的话前面部分也是类似跟前面Archito基本类似
[63:11] 然后有这个Vision和Languages相关的Encoder
[63:15] Encoder倒进去
[63:15] 然后也是Transformer的一个架构
[63:18] 然后他的一个不同点是我们看到他的输出这
[63:22] 他加了几种不同的Action Head
[63:26] 对
[63:26] 那比如说第1种第1个
[63:29] Action Head就是动作头
[63:32] 对对
[63:33] 直接翻译可以这么翻译
[63:34] 就是说
[63:35] 他是一个这个相对小的一个
[63:37] 就前面这部分都是Shear的
[63:39] 前面Transformer这块都是Shear的
[63:41] 但是呢
[63:42] 下面的
[63:43] 机动的这块
[63:44] 他从这块的输出
[63:46] 就直接会
[63:47] 通过是个不同的比如说
[63:48] 或者更多不同的这个网络
[63:51] 模型然后输出到不同的
[63:53] 这个机器人的这个
[63:55] 动作空间上面
[63:57] 然后因为这个确实是
[63:59] 也比较难去统一但后面我们会介绍到那个还有别的
[64:03] 统一这个动作空间的方式
[64:04] 这是他其中一种方式
[64:06] 就是把每种不同的机器人本体都用一个不同的
[64:09] Head
[64:10] 你可以认为就是说
[64:12] 对这个模型的话
[64:14] 他依然不是说同一
[64:16] 完全相同的一个模型
[64:17] 直接用到各种不同的本体上面
[64:19] 因为输出你可能都对不上
[64:22] 我的人形机器人的自由度和机械臂的自由度
[64:25] 和车的自由度都不一样
[64:26] 所以说
[64:28] 那么他是什么他是比如说你可能小部分的这个模型是
[64:32] 分别的一跟
[64:34] 机器人本体一对应的
[64:36] 然后共享大部分的
[64:38] 参数
[64:39] 大概是这样的一个思想
[64:42] 然后这样的话为什么要这样做
[64:44] 这样做的话就是说各类的
[64:45] 因为即使是不同的这个本体
[64:48] 但比如说他的比如说这个单臂操作和双臂操作
[64:52] 对吧
[64:53] 他有很多共性那比如说你小车的移动和四足的移动
[64:56] 他也会有很多
[64:58] 数据之间的共性在里面
[64:59] 这样的话你可以中间这一部分呢就可以从这些共性的
[65:03] 这里面去学到
[65:05] 对
[65:06] 所以说他也是做了一些实验最量化的一些指标可以看到蓝色是他的这个方法
[65:11] 然后黄色呢就是说单一的这个本体的任务
[65:16] 在单一的这个
[65:17] 上面去训练就蓝色是他们商店很多数据共享了吗
[65:21] 一起来去训练
[65:22] 然后黄色就是单一的一个本体
[65:24] 单独训练
[65:25] 我们可以发现的话在一些任务上面
[65:28] 他的这个是会比单一训练
[65:31] 在这个本体上面
[65:33] 对吧
[65:33] 就是用起来
[65:35] 会比单一只在这个
[65:37] 本体上面去训练要更好
[65:39] 所以说这个就是证明一定程度证明说
[65:43] OK你更多各种
[65:44] 跨形态的数据
[65:46] 融合到一起训练之后
[65:48] 能让这个模型
[65:50] 学得更好他可能找到了数据之间的模型联系
[65:54] 对这是这片工作的
[65:56] 然后他展示了几个
[65:58] 几个任务了比如说这个单臂的一些抓取啊
[66:02] 然后
[66:04] 还有一些
[66:07] 动作还是比较卡
[66:08] 他这个工作频率不是很高
[66:12] 这个实验官就不多看了
[66:14] 然后
[66:16] 这个是这个
[66:17] 双臂的
[66:17] 做一些任务
[66:20] 这个比如说
[66:22] 对然后比如说navigation的
[66:23] 移动的也可以小车的移动控制或者是这个
[66:27] 四旋翼的移动控制
[66:28] 或者是四足
[66:31] 这样的行走
[66:32] 他其实就相当于
[66:34] 希望通过一个一个大脑然后控制不同的肢体
[66:38] 对一个大脑控制但是我就可以这么去理解就是
[66:42] 共用一个大脑但是有不同的小脑
[66:45] 可以这么理解
[66:47] 不同小脑用到不同的肢体上
[66:51] 这个head可以当做小脑
[66:53] 对
[66:53] 可以这么去理解
[66:56] OK
[66:57] 刚才是整个这一类就是因为transformer
[67:00] 原模型基于transformer
[67:01] transformer发展了几年
[67:03] 然后相对成熟然后大家就OK那么我基于这个架构
[67:06] 然后来去训练
[67:09] 一系列的这样的一个robotics的VLA的模型
[67:13] 对吧然后vision language作为输入
[67:15] action作为
[67:16] 输出
[67:17] 然后下面有一类就是在这个就是上进行了一个扩展
[67:22] 就是他的训练的目标不光是说我要输出
[67:26] 这个时刻点我到底做什么动作
[67:29] 我同时还要
[67:31] 我同时再去学习我怎么去预测未来
[67:34] 对就加了这样的一个supervision
[67:36] 这样的话
[67:38] 这个supervision如果说还能不能理解的话它是一定程度能够
[67:42] 帮助我们
[67:44] 去这个
[67:46] 更好的去
[67:47] 理解咱们当前的一个状况就如果说你有能力能够
[67:51] 相对来说预测未来
[67:53] 发生了这样的一个事情的话
[67:55] 然后你其实是能帮助我们更好的去理解当前的一个状况
[67:59] 然后这另来两个工作是一个系列的工作其实是字节这边做的
[68:04] 就是字节这也是在国内相对比较早
[68:08] 开做VLA模型的这个单位之一
[68:11] 对然后他叫java
[68:13] 然后叫general robots
[68:15] 这个意思
[68:17] ok
[68:17] 它的架构是这样的
[68:19] 然后分了两个阶段
[68:22] 就是第1个阶段
[68:23] 是在一些视频数据上面
[68:26] 然后做这样的Pretraining
[68:28] 它也是一个这样
[68:29] 直接的一个Transformer的一个模型
[68:32] 然后但它的这个的输出呢
[68:34] 它不是一个动作也不是一个语言
[68:37] 它输出的是
[68:40] 比如说未来的某个时刻点的
[68:43] 这个图像
[68:44] 你的输入是
[68:45] 当前的
[68:46] 这个图像
[68:48] 然后以及
[68:49] 我们比如说
[68:51] 你这个机器人或者你这个人在干什么事情
[68:54] 的这样的语言
[68:55] 然后我输出未来
[68:57] 某一个时刻的这个图像
[69:00] 对然后这个呢可以直接在
[69:03] 一些
[69:03] video数据上面去训练
[69:05] 那比如说你把
[69:06] 当前帧作为输入然后把未来的
[69:08] 某帧或者某几帧作为输出
[69:11] 然后来帮助他去训练
[69:12] 这个训练完了之后呢这个Transformer呢它就具备一定程度的
[69:16] 对这个
[69:17] 物理世界的一定理解
[69:21] 然后完了之后呢它进一步的
[69:22] 在机器人上面Funtune的时候呢就
[69:25] 加入了机器人的Action的
[69:28] 数据
[69:29] 因为这个视频里面是没有Action的
[69:31] 它有可能是人的这些数据
[69:33] 然后这个然后它就把这个机器人的数据
[69:36] Action的数据一起加进来
[69:38] 继续训练
[69:38] 然后使得它能够做机器人的动作
[69:41] 所以这里面是比刚才的那一系列Transformer多了一环
[69:45] 就是它的输出一
[69:47] 就是它的输出可以输出Image
[69:49] 这个紫色这块就是输出的
[69:50] 未来的图像
[69:51] 二的话它可以
[69:53] 先在
[69:54] 这个Video的Data Set上面
[69:56] 去进行一个预训练
[69:59] 其实我们人类每时每刻都在做预测
[70:02] 你可以想象你开车的时候
[70:04] 你开的时候你看到旁边
[70:06] 站了一个小孩你时刻在紧绷的你在预测它会不会
[70:10] 会不会突然
[70:11] 穿出来或者这个自行车会被穿出来
[70:14] 对吧然后如果说
[70:15] 你看到比如说一个
[70:17] 这个
[70:18] 一个陶瓷的杯或者碗到桌边了你就会担心它会被掉下来
[70:23] 能做预测代表着
[70:24] 你对这个物理世界的这个时序的关系你有一个理解
[70:29] 它未来可能会
[70:31] 对对对你会你有这样的一个理解
[70:34] 你会有一个反馈
[70:35] 对
[70:36] 然后它会反过来
[70:38] 会帮助
[70:39] 帮助你去做更好的决策
[70:41] 就是你相对你可以预见未来可能会发生什么样的一个情况
[70:45] 这个会反过来帮助你
[70:47] 做更好的决策和行为
[70:49] 但比如说像之前的这个
[70:52] 纯转former就直接指示输出action的话它就没有这一环
[70:56] 所以这一环加上之后它是能有一定帮助的
[70:58] 就是我后面会讲到我们的一系列更新的工作也是
[71:02] 就是说是融了这一块确实发现是有帮助
[71:05] 然后这里面就可以就除了
[71:07] 它能像刚才的那些任务里面它能够输出动作里面我们可以看到它也可以
[71:11] 比如说对于这个
[71:14] 这个视频然后做一定的预测
[71:16] 那比如说我要干这个事
[71:17] 之后
[71:18] 我的摄像头会看到这个会怎么去动
[71:21] 但这里面可能看不出太大的一个区别它这个预测的时序比较短
[71:25] 但是我们可以看到它大致是能做这样的一个预测的动作
[71:30] OK
[71:31] 然后下面就是它的GR2
[71:34] 就是它更新的就是第二代
[71:37] 这一个然后第二代跟第一代模型架构训练方法没有本质区别
[71:42] 但是scale起来
[71:44] 它在更大的一个模型
[71:46] 和更大的
[71:47] 这样的一个数据集上面训练
[71:49] 方式还是跟上面加往基本上是
[71:52] 一致的
[71:53] 这里面列出来了它的各类
[71:55] 数据集
[71:57] 然后这里面有下面很多都是机器人的数据集
[72:00] 这两个都是机器人
[72:01] 包括
[72:02] 刚才RT1 Google的数据集
[72:03] 还有其他一些数据集
[72:05] 然后也有一些人的操作的
[72:08] 第一是叫这些数据集
[72:10] 在这些数据上面然后
[72:13] 进行了这样来训练这个模型
[72:16] 然后它也
[72:17] 这个看
[72:19] 它也
[72:19] 大致的这个看了一下它scaling的这样效果
[72:23] 然后就是这个
[72:24] 几个不同的蓝色是这个参数最大的
[72:28] 就是然后这一往上参数低减
[72:31] 就看到比如这前三个都是loss
[72:33] 学习的更大的参数它能学到更小
[72:36] 更低的这个loss
[72:38] 然后success rate就是performance的话会让你看这个参数越大
[72:41] 这performance也越高
[72:43] 在它的整个
[72:44] 这个数据集上面
[72:46] 就是
[72:47] 秀出来这样一个结果
[72:49] 就本质上你可以认为它GR2就在GR1技术上面进行了一定的scaling
[72:54] 所以这是这一类的工作
[72:57] OK
[72:58] 那么
[72:59] 上面看到不管是上面传输门还是刚才的讲到的这些工作
[73:03] 它这一类基础传输门的工作呢它的一个特点都是说
[73:07] 它内部其实没有一个预训良好的语言模型
[73:12] 对它都是自己重新去
[73:14] 训的
[73:15] 然后虽然刚才我们讲的时候我们也不希望是说
[73:19] 你直接用一个语言模型
[73:20] 但是说
[73:21] 那个是说OK你只是
[73:22] 单纯的
[73:23] 把语言模型作为一个API接口拿来去调用来用
[73:27] 但是我们的模型架构
[73:29] 构建其实是
[73:30] 可以用到人家已经预训练那一段时间的这个语言模型的
[73:35] 你用上之后你可以再继续Fintune继续训
[73:38] 但是说你下面就不用说
[73:40] 自己完全靠自己的数据自己的训练
[73:42] 来去整个
[73:43] 因为我们知道语言模型发展的比较快嘛比较好嘛对吧也在很大量数据上面训练
[73:47] 现在开院的也比较多
[73:48] 所以说
[73:49] 你可以用到它其实
[73:50] 大部分的VLM就是Vision Language Action Model
[73:53] 也是
[73:54] 在
[73:55] 依赖着依靠着
[73:57] 预训练好的语言模型
[73:58] 上面继续去加入世界模块再Fintune这样去训取来的
[74:02] 我再问一个小白一点的问题
[74:04] 自己他们没有做机器人为什么他们也在研究VLM
[74:08] 他们做他们有个Lab
[74:10] 他们那个是在AI Lab下面有机器人的小组
[74:13] 机器人小组在AI Lab下面
[74:15] 所以它是一个探索方向
[74:18] 对是个实验是研究
[74:21] OK他们现在有机器人本体吗
[74:24] 有他们搭了一个跟那个
[74:25] 对这里面
[74:27] 他们这个本体跟
[74:29] 那个啥
[74:30] 跟
[74:31] Google就RT1RT2系列用的非常相像
[74:35] 他们搭了一个这个本体就是有个移动底盘还有个机械臂
[74:40] 哦理解
[74:41] 所以机器人是一个研究方向
[74:45] 国内的公司哪些还有机器人研究方向
[74:48] 做得比较前沿的
[74:49] 很多都在做了但是字节是在这里面VLA的这个方向
[74:54] 在这些大公司
[74:56] 的实验室里面
[74:57] 做得最好的
[74:59] OK
[75:00] 下面就到这个VLM
[75:01] VLM的重点在于说OK我有一个预训练好的
[75:05] Language Model
[75:07] 然后其实很多VLM就是在预训练好的Language Model上面继续去
[75:12] 把这个视觉的部分迅进去了
[75:15] 做成VLM
[75:16] 然后
[75:18] 所以说那么这一系列的工作就是说我们怎么样利用好
[75:21] 这个
[75:22] VLM的模型
[75:24] 那么本质上的很重要的一个是说你能用到它里面的
[75:27] 可以吹好的语言模型
[75:29] 那么这个就肯定是会比说
[75:31] 你上面的这个在他知道在语言理解或者等等这个层面的话
[75:35] 就会比上面这个方法
[75:36] 一些方法就会好蛮多
[75:38] 对
[75:39] 然后这个最早也是这个Google这边
[75:43] 进行了探索
[75:44] 然后他有一个工作叫Palme
[75:47] Embodied Mode
[75:48] Language Model
[75:50] 然后本质上我们看到这个Model本质
[75:53] 对就是巨声的一个多模态的语言模型
[75:57] 就是
[75:58] 他还是一个基本上是一个
[76:01] VLM
[76:02] VLM其实本质上所以我们说了
[76:04] 本身他有一个Language Model
[76:06] 这是Palme是那个Google里面的一个
[76:09] 他的一个大语言模型
[76:11] 然后完了之后
[76:12] 前面的话有个VIT然后把视觉的部分能迅进来
[76:16] 所以整个的话
[76:17] 其实
[76:18] 这整个是一个VLM
[76:20] 是一个VLM
[76:23] VLM
[76:24] 做的主要的事情他的输出主要还是text
[76:27] 还是语言他主要比如说做一些VQA
[76:29] 比如看图说话
[76:31] 基本上是做这样的
[76:33] 类似的一个事情
[76:34] VLM做的大部分的工作是
[76:36] 类似看图说话的这样的一个工作
[76:39] 对
[76:40] 然后所以他本质上是用了这样一个VLM
[76:43] 但是比如说他就不光是看图说话
[76:45] 他还需要说能够规划一下
[76:47] 比如说看到这个
[76:49] 极限摄像头看到这个
[76:50] 图像然后我input你的这个
[76:53] 这个相应的一个指令
[76:55] 然后我能够去输出我对未来这个的规划
[76:59] 12345该怎么做
[77:01] 然后Palme这篇工作就是一个是说有
[77:03] 刚才这些他能做这样的对具体机器人的
[77:07] 看图说话和规划
[77:09] 当然他还能做其他的就VLM其他能做的各种事情他也都能做
[77:13] 然后
[77:14] 同时呢就是说他下游在给出一个
[77:17] Control
[77:18] 实际上这个Control就是RT1
[77:21] RT1的话他
[77:23] 相应他的语言能力比较弱
[77:25] 所以他对推理能力比较弱他只能take一个
[77:28] 很短的一个语言指令作为输入然后
[77:31] 就比如说把苹果拿起来
[77:34] 大概是大概这样一个输入他能把这个动作做了
[77:37] 但比如说你在更长的这样推理的话他做不了
[77:40] 所以说他前面那这一块他是靠这个Palme这个
[77:44] 世界语言模型
[77:45] 然后能把
[77:46] 他比如说第一步
[77:47] 把这个拿起来
[77:48] 完了之后他可以告诉第二步怎么样
[77:51] 然后他比如说各位号第一步他就
[77:52] 调用RT1
[77:54] 做下层领域控制
[77:56] 但这个框架你也可以你下面也可以换成是其他的Control都是可以的
[78:01] 对对对
[78:02] 所以这个是Palme的工作
[78:06] 对这是展示他的几类各种的
[78:09] 不同的这个任务
[78:12] 然后Palme的话也是非常大的
[78:14] 他这个VLM在当时谷歌这边有562币
[78:17] 满大的一个
[78:19] 工作那但是也是看到因为他这个模型参量比较大
[78:23] 然后特别他对视觉对语言的这些理解
[78:26] 其实是有比较好的这样泛化的一个性能
[78:28] 所以这部分的一个功能
[78:30] 也相对程度来说
[78:32] 辐射到了机器人上面
[78:33] 使得基于这块你做机器人的任务也有比较好的泛化的能力
[78:38] 对
[78:39] 然后
[78:40] 这儿的话就是基本上说OK这个模型你给他一个
[78:44] 任务这个任务时序其实
[78:47] 相对长一点的
[78:48] 比如说你从这个抽屉里面给拿个东西
[78:51] 他能知道我先找到这个抽屉
[78:53] 然后过去然后打开抽屉再拿起来然后再给过来
[78:56] 等等就是一系列连贯的工作
[78:58] 可以去做出来
[79:01] 对
[79:02] 对然后包括这个
[79:04] 他带一些逻辑推理
[79:06] 对比如说这个是给了一个你怎么样把
[79:10] 这个
[79:12] How to sort the blocks by corners into the corners
[79:16] 因为这有几种不同的颜色
[79:18] 然后
[79:19] 四种不同颜色你想
[79:20] 把同样的颜色的放到
[79:22] 这个同一个角上面
[79:24] 所以这其实包含了一些复杂的这个
[79:27] 推理的
[79:28] 你要去理解
[79:30] 怎么去颜色然后你还要知道什么是角然后你还要知道
[79:34] 你怎么样去把它进行一个归类
[79:36] 然后
[79:37] 因为刚才
[79:38] 我们这个模型他有比较好的一个
[79:40] TreeTrain好的语言模型
[79:41] 世界语言模型在里面所以说
[79:43] 这类任务的话他就
[79:45] 相对来说就能
[79:47] 做得比较好
[79:49] 但比如说刚才的
[79:51] 那种纯基于传说门的
[79:52] 那一类的话可能这类
[79:54] 带复杂推理的他就
[79:56] 会比较困难了
[79:58] 对
[79:58] 行
[79:59] 那这个
[79:59] 时间关系就看多了
[80:00] 然后但刚才呢其实他还是一个分层的一个架构
[80:04] 他的VLM本质上
[80:06] 他还是分开的他下面接了一个RT1
[80:09] 作为control然后VLM是单独的VLM他们也没有串起来去端到端端来去训练
[80:14] 所以本上其实有点背你刚才说的你得端到端一起训练这个角度就是他的VLM
[80:19] 本质上
[80:19] 他输出还是没的action
[80:21] 他还是输出的只是指令
[80:24] 只不过他做了他帮助做了推理这个事情
[80:27] 所以说Google接下来还是同样那帮团队接下来又继续做了一个工作
[80:31] 这个就算是
[80:35] 我们当前意义上的最有名的一个VLA的
[80:38] 开山的一个工作了
[80:39] 叫RT2
[80:40] 虽然刚才说了RT1也是一个VLA
[80:43] 也算是一个
[80:44] VLA
[80:45] 但是说他没有比如说预言和语言模型
[80:48] 对
[80:49] 然后所以说他的在能力上特别对推理能力上稍微欠缺一些
[80:53] 然后
[80:54] 或者说他的语言这块是很弱的
[80:57] 但是对RT2的话这块语言能力就很强
[81:00] 所以看他的题目直接叫做Vision Language Action Model
[81:04] 然后其实RT1他其实没有给这样的一个
[81:07] 题目
[81:08] 所以一般标志性的认为
[81:10] VLA的
[81:11] 首篇工作的话
[81:13] 很多是会认为是这篇
[81:16] Google的这篇
[81:18] 对
[81:19] 所以这篇大概是怎么了
[81:20] 所以看到他做了一个小动图
[81:22] 就是本来有一个VLM
[81:25] VLM在各种各样的数据上面训练看图说话等等这些任务
[81:29] 然后本来PALM1是VLM和RT1
[81:33] 这个来配合着做
[81:34] 然后RT2就是一个VLM
[81:37] 他刚才展示RT1的这部分功能给合进来了
[81:42] 所以他整个是他的这个
[81:44] 还是一个VLM模型
[81:46] 但是他直接的去输出动作
[81:49] 对
[81:50] 我们直接看到这个
[81:51] 网络的这个架构
[81:53] 对
[81:54] 网络这个架构吧
[81:55] 然后
[81:56] 本身上看这其实还是一个VLM
[81:58] 这本是一个
[82:00] Language Model
[82:01] 前面一个VLT
[82:02] 这部分跟PALM1是一致的
[82:05] 但是不同的是他没有
[82:08] 去说他的输出不是说OK我就输出第一步第二步
[82:12] 第三步该怎么做的语言然后交给下面的有一个RT1控制器来去做
[82:16] 而是
[82:17] 他直接就输出了这个
[82:19] 动作
[82:20] 他的输出本身是Token然后完了之后
[82:23] 他把这个Token直接映射到动作上面
[82:25] 这个动作就比如说是机器人
[82:27] 你的夹爪该移动到哪
